Name	MC-289_T1-Amb_1603	MC-289_T1-Amb_1609	MC-289_T1-HiT_2878	MC-289_T1-HiT_2023	MC-289_T3-Amb_1595	MC-289_T3-Amb_2741	MC-289_T3-HiT_2183	MC-289_T3-HiT_2058	MC-289_T5-Amb_1721	MC-289_T5-Amb_2874	MC-289_T5-HiT_1341	MC-289_T5-HiT_2998	MC-289_Field_289-1	MC-289_Field_289-2
Montipora_capitata_PredGene_g62404	684.7	811.4	306.7	409.5	448.3	434.5	569	506.7	771.8	930.3	766.5	799.6	410.4	917
Montipora_capitata_PredGene_adi2mcaRNA36659_R0	70.1	112.7	92.2	19.3	111.8	118	57.4	60.6	119.2	50.2	58.2	83.7	74.3	86
Montipora_capitata_PredGene_g6370	308.9	396.4	139.8	200.7	205.3	175.3	162.7	152.4	376	421.7	368.3	296.2	169	348.7
Montipora_capitata_PredGene_g52840	113.3	51.6	27.8	48.9	19.5	18.8	31.1	25.6	43.3	64.9	43.1	32.1	16.6	38.6
Montipora_capitata_PredGene_g31475	204.3	400.1	218.8	87.4	203.3	225.8	286.2	317.1	263.9	280.9	221.9	225.1	341.3	271.5
Montipora_capitata_PredGene_g44129	11.4	8.2	5.9	3.8	15.7	10.6	7.5	6.3	18.5	6	0	28	20.6	34.9
Montipora_capitata_PredGene_g61747	30.3	25.6	11.5	16.3	23.2	21.1	18.9	19.6	18	39.7	28.6	32.3	25.7	34.6
Montipora_capitata_PredGene_g32754	143.3	167.9	66.9	87.7	214.3	114	69.1	69.8	187.9	109	82.1	96.3	112.2	84.8
Montipora_capitata_PredGene_g29788	280.8	437.9	174.4	179.9	301.3	316.5	87.9	68.5	87.6	177.3	104.4	151.7	94.6	200.8
Montipora_capitata_PredGene_g39289	9.1	10.7	6.1	4.1	6.7	12.3	6.7	3	8.2	0	2.7	9.5	9.8	19.1
Montipora_capitata_PredGene_g23756	99.1	93.5	48.7	48.9	90.2	110.8	36.3	44.7	112.4	167.7	59.5	51.8	79.2	102.3
Montipora_capitata_PredGene_g34424	688.2	555.3	379.8	258.8	597.6	429.1	107.7	103.3	710.8	351.1	149.7	994.4	504.2	820.4
Montipora_capitata_PredGene_g4671	32.8	53.4	25.1	18.3	41.5	38.6	15.4	15.4	53.3	14.9	14	43.1	37.4	87.2
Montipora_capitata_PredGene_g52471	150.7	122.7	36.6	133	121.5	114.4	210.5	187.4	73.1	187.6	324.1	197.3	110.4	205.4
Montipora_capitata_PredGene_g41902	77.5	116	51.4	46.2	97.1	80.5	88.8	95.2	147.7	76.3	72	64.3	51.9	54.9
Montipora_capitata_PredGene_adi2mcaRNA7669_R0	10.9	9	6.3	4.1	7.8	9.1	3.8	10.2	6.4	6.3	5.3	11	14.3	10.2
Montipora_capitata_PredGene_g63469	12.3	12.9	5.6	7.6	16.5	9.5	12.4	14.8	9.7	10.1	10.4	12.5	11.8	12.6
Montipora_capitata_PredGene_g58965	16.7	13.1	6.1	9.5	8.5	10.5	15.8	9	20.1	17.6	19.2	16.4	10	16.1
Montipora_capitata_PredGene_g48542	90.2	91.1	48.6	45.8	83.5	71.1	45.7	41.7	70.3	70.9	47.9	55.2	61.9	68.4
Montipora_capitata_PredGene_g69055	122.3	135	54.2	83.1	71.5	102.7	79.4	47.3	108.9	124.7	75.3	61.6	86.3	108
Montipora_capitata_PredGene_g25546	52.1	49.4	25.8	27.4	37.4	30.5	32.6	37.3	38.5	63.1	45	50.5	36.8	58.4
Montipora_capitata_PredGene_g38103	22.2	11.3	6.1	11.3	10.5	11.2	8.8	9.8	12.8	18.1	15.3	13.7	10.8	17.9
Montipora_capitata_PredGene_adi2mcaRNA19080_R0	58.6	80	23.7	54.6	31.6	33.7	62.7	51.9	87.2	113.4	111.5	160.8	33.4	102.9
Montipora_capitata_PredGene_g46347	981.8	2152.2	1036.1	572.7	1570.6	1492.5	1587.8	1688.1	481.3	1568.2	1088.5	5372.9	2828.3	4113.7
Montipora_capitata_PredGene_g3082	63.9	104.6	40.6	46.4	65.2	44.8	40	39.4	76.9	65.3	49.6	68.8	56.1	67.1
Montipora_capitata_PredGene_g48131	271.7	508.9	177.7	220	380.3	370.2	281.9	370.2	234.7	416.9	319.5	698.3	265.9	351.4
Montipora_capitata_PredGene_g43034	159.8	186.3	92.6	92	223.5	120	107.1	103.8	136.2	123.7	150.9	109.3	129.8	112.2
Montipora_capitata_PredGene_g24099	10	17.1	6.3	7.8	6.2	5.8	10.8	10.5	13.7	24.1	17	21.2	11.1	14
Montipora_capitata_PredGene_g64464	128	178.2	120.8	55.4	163.8	149.9	57.8	47.8	165.8	70.3	59.4	140.3	184.2	252
Montipora_capitata_PredGene_g16572	17.5	17.5	11	8.2	11	13.5	10.5	5.9	14.6	13.7	6.9	14.7	10.9	14.9
Montipora_capitata_PredGene_g34004	909.5	763.8	420.7	491.2	543.9	510.4	535.5	601.3	778.1	1034.5	837.6	800.9	840.7	930.2
Montipora_capitata_PredGene_g16448	24.4	29.4	10.1	21.2	18.8	16.8	12.7	22.3	16.4	21.2	19	20.3	16.2	20.2
Montipora_capitata_PredGene_g28083	92.6	98.4	55.1	49.4	62.7	49.4	67.7	69	120.8	99.9	91.6	94.1	59.4	75
Montipora_capitata_PredGene_g38388	151.1	125.7	72	79.1	136.7	105.8	89.8	78.7	126.3	124.6	107.3	96.1	143.9	125.3
Montipora_capitata_PredGene_g31298	51	31.4	15.2	31.5	20.2	21.3	44.6	42.1	34.7	67.5	72.4	71.7	28.9	58.9
Montipora_capitata_PredGene_g64617	10.5	16.4	8.9	5.9	13.5	7.3	3.9	7.2	9.7	7.8	3.9	6.5	3.6	8.8
Montipora_capitata_PredGene_adi2mcaRNA15301_R0	400.8	510.2	335.8	185.6	578.9	514	267.7	305	293.4	308.9	249	878.8	309.5	434.4
Montipora_capitata_PredGene_g17597	33.4	25.1	14.3	17.9	5.5	18.7	27	20.7	29.2	25.3	41.1	31.7	16.5	23
Montipora_capitata_PredGene_g29572	143.5	138.9	73.1	83.4	129.1	84.3	79.6	81.4	131.3	118.8	85.8	70.4	118.6	86.3
Montipora_capitata_PredGene_g15581	13.2	16	8.9	7.2	10.4	14.6	11.4	6.5	10.3	14.9	14.7	8.8	12.6	14.8
Montipora_capitata_PredGene_g30600	103.9	92.8	63	47.3	70	86.7	41	26.7	49.8	87.3	36.5	76	64.1	82.9
Montipora_capitata_PredGene_g67736	220	254.2	150.7	115.3	210.5	209.2	139.8	165.5	185.1	169.4	119.8	286.2	221	253.7
Montipora_capitata_PredGene_g26312	16.3	28.3	20	7.1	41.9	63.7	6.1	6.8	12.3	9.5	4.3	7.8	17.6	12.7
Montipora_capitata_PredGene_g45489	179.6	85.6	54.6	87.9	80.3	75.3	76.5	68.4	9.9	114.8	66.4	64.2	69.8	95.9
Montipora_capitata_PredGene_g57156	135.5	173.2	107.8	68.1	162	163.9	70.7	47.6	168.2	95.4	55.7	172.3	228.7	398.1
Montipora_capitata_PredGene_g14229	14.4	21.2	8.4	11.3	14.4	10.9	12.5	9.8	21.1	17.2	16	12.7	9.7	13.8
Montipora_capitata_PredGene_g60902	84.5	112.5	63.1	47.5	67.4	75	24.2	20.8	47.8	47.7	34.1	250.5	30.2	69
Montipora_capitata_PredGene_g52537	9.7	14.2	5.4	8.2	9.8	10.5	8.7	12.3	5.3	8.3	12.7	10.6	6	9
Montipora_capitata_PredGene_g14975	113.1	129.1	78.6	59.5	94.4	111.7	43.1	59.7	45.3	146	76.8	79.3	75.9	120.5
Montipora_capitata_PredGene_g59201	61.2	84.7	41.6	40	43.1	51.1	25.3	27.8	79.2	43.8	35.8	57.3	52.4	110.4
Montipora_capitata_PredGene_g42020	29.1	22.6	10.1	20.9	8.9	23.7	15.9	23.3	48.1	27.5	13.3	22.3	13	20.4
Montipora_capitata_PredGene_adi2mcaRNA39769_R4	32.3	72.9	31.1	24.5	52.2	47.2	52.3	53.8	42.7	38.4	40.9	36.5	48	36.1
Montipora_capitata_PredGene_g10475	8.7	9.9	6.9	4	11.5	7.2	4.4	8.5	16.9	10.5	8.7	13.9	7.9	14.7
Montipora_capitata_PredGene_g62475	18.4	21.6	17	7.7	12.8	12.5	14.5	17.9	15.9	19.3	18.4	21.8	10.6	16.5
Montipora_capitata_PredGene_g66957	37.4	32.6	34.4	11.7	44.5	39.8	14.5	21.2	69	26.6	26.7	29.3	24.1	28.7
Montipora_capitata_PredGene_g43712	310	390.2	211.6	190.6	403.2	252.4	171.5	165.4	311	264	167.6	172.6	268.1	246.7
Montipora_capitata_PredGene_g60997	16.1	27.2	13.8	10.6	14.7	21.2	17.9	14.4	22.2	23.7	20.9	18.8	43.8	44.7
Montipora_capitata_PredGene_g32407	207	257.6	124	143.9	179.7	133.9	140.7	118.8	308.9	238.2	198.7	148.3	154	180.4
Montipora_capitata_PredGene_g41496	25.6	27.7	13.1	18.1	24.8	21.4	13.5	17.7	14	23.8	23.1	18.3	19.1	20
Montipora_capitata_PredGene_adi2mcaRNA41381_R0	697.6	632.2	339.6	436.7	346.9	450.5	456.5	455.9	430.9	795.4	774.2	1069.7	538	875.8
Montipora_capitata_PredGene_g15690	68.5	70.3	40.7	40	70.4	54.3	40.6	38.2	63.9	74.6	46.1	52	53.9	57
Montipora_capitata_PredGene_g69038	39.5	37.4	25.1	19.9	59.4	57.6	18.5	15	26.7	42.6	11.9	47.7	51.1	46.3
Montipora_capitata_PredGene_g58494	285.3	301.1	159.7	182.9	261.5	207.9	212.5	188.3	269.5	322.9	263.2	175.2	249.4	285.4
Montipora_capitata_PredGene_adi2mcaRNA18450_R0	115.9	112.7	64.2	69.2	133.3	85.5	79.7	52	213.8	92.5	83	84.8	71.1	57.4
Montipora_capitata_PredGene_g53133	34.8	42.3	24.1	21	32	25.9	14.8	20.3	22.7	28.8	12.9	24.2	30.3	29
Montipora_capitata_PredGene_g59546	3274.6	5534.8	2322.1	2688.1	4361	4312.7	2864	3300.3	2154.7	4519.2	2733.4	5374.1	2827.5	4003.8
Montipora_capitata_PredGene_g11206	112.5	117.5	70.8	64.3	118.9	131.7	101.1	119	58.2	84.2	121.4	92.6	86.6	141.1
Montipora_capitata_PredGene_g54593	10.9	18.4	7.6	9.2	15	13.4	6.1	8.8	16.3	10	6.4	16.7	9.3	14
Montipora_capitata_PredGene_g37935	20.9	29	17.6	12	18.6	22.8	9.2	10.1	20.9	20.8	14.7	21.2	12.4	23.3
Montipora_capitata_PredGene_g44801	86.3	92.4	49.4	56	81	73.9	41.7	50.9	85.4	96.9	71.6	77.8	65.8	92.9
Montipora_capitata_PredGene_g59993	115.8	156	85.5	73.6	93.2	89.2	108.5	93.1	84	150.9	103.8	136.7	72.7	154.4
Montipora_capitata_PredGene_adi2mcaRNA28334_R0	18.5	19.5	10.7	11.7	11.2	9.2	13.5	18	20.3	21.2	10.7	15.8	19.3	20.1
Montipora_capitata_PredGene_g55696	26.7	36.2	22.5	15	39.6	45	9.7	11.4	53.9	18.1	12.4	44	51.3	106.4
Montipora_capitata_PredGene_g27250	11.1	9.5	5.9	6.2	12.1	8.2	5.7	9	7.7	6.9	7.4	10.5	7.2	8.2
