Name	MC-289_T1-Amb_1603	MC-289_T1-Amb_1609	MC-289_T1-HiT_2878	MC-289_T1-HiT_2023	MC-289_T3-Amb_1595	MC-289_T3-Amb_2741	MC-289_T3-HiT_2183	MC-289_T3-HiT_2058	MC-289_T5-Amb_1721	MC-289_T5-Amb_2874	MC-289_T5-HiT_1341	MC-289_T5-HiT_2998	MC-289_Field_289-1	MC-289_Field_289-2
Montipora_capitata_PredGene_g39472	351.1	413.3	250.8	305.9	346.5	326.7	271.5	314.7	282.4	363.5	284.8	319.8	387.8	378.8
Montipora_capitata_PredGene_g19597	135.4	151.6	89.3	121.5	118	150.5	77.7	74	123.1	169.9	85.2	98.8	105.4	138.3
Montipora_capitata_PredGene_adi2mcaRNA4492_R0	596.9	697.8	426.8	517.7	567.2	561.6	437.1	406.7	594.7	650.2	500.2	507.3	593.5	598.6
Montipora_capitata_PredGene_g49470	66.6	39.9	27.9	50.5	51.1	59.1	46.8	52.8	13.8	45.9	67.7	16.3	83.3	82.6
Montipora_capitata_PredGene_g60898	168	158.6	120.4	117.3	125.7	131.1	121	101.2	101.9	155.1	122.1	137.9	127.8	172.8
Montipora_capitata_PredGene_g12774	29.3	30.7	20.4	23.4	22.5	23.8	22.8	25.3	22.3	33.7	33.7	28	28.1	21.8
Montipora_capitata_PredGene_g533	32.6	24.7	24.8	17.2	20.7	19.7	30.7	36.2	22.5	35.8	22.8	36.3	21	29.5
Montipora_capitata_PredGene_g34639	302.5	310.7	227.7	219.3	269.6	246.2	287.7	258.1	265	348.7	356.5	284.3	261.2	294.5
Montipora_capitata_PredGene_g8844	1342.3	652.1	795.3	586.1	303.7	367.3	323.3	321	37.2	1178.5	531.9	49.6	476.4	579.6
Montipora_capitata_PredGene_g10883	7.3	16.1	7.8	8	21.2	13.8	11.1	9.2	3.7	10	6.8	7.1	14.2	10.5
Montipora_capitata_PredGene_adi2mcaRNA11316_R0	36	43.5	28.5	29.3	39.4	25.3	21	28.1	32	36.6	47.3	31.2	31.8	42.1
Montipora_capitata_PredGene_g27860	1284.8	1189.4	854.1	956.7	1069.7	1125.5	626.5	479.7	1147.2	1215.6	604.7	1000.3	907.9	1094.5
Montipora_capitata_PredGene_adi2mcaRNA23846_R0	230.6	205.3	160.7	157.6	195.5	196.8	120.5	118.2	140.7	232.5	182.5	201.9	210.1	220.8
Montipora_capitata_PredGene_g39640	16	14.3	10.7	11.3	10.6	19.4	9.4	10.4	12.5	12.8	6.9	15.6	13.6	12.6
Montipora_capitata_PredGene_g11850	24.4	36.5	19.4	24.5	30.5	23.5	18.5	15.5	20.2	29.6	16.1	15.2	26.6	26.4
Montipora_capitata_PredGene_g37088	10.6	10.5	7	8.5	10.6	8.6	2.4	10.4	11.4	5	6.9	8.1	8.3	9.6
Montipora_capitata_PredGene_g40688	8.8	11.3	7.1	7.6	18.6	7.8	9.4	15.2	17.7	8.6	10	4.5	6.1	6.2
Montipora_capitata_PredGene_g1923	95.8	104.6	77.1	69.8	89.8	88.9	89.5	81.8	97.5	124.4	109.1	71.6	86.8	103.2
Montipora_capitata_PredGene_adi2mcaRNA3395_R0	240.2	270.4	213.5	163.6	211.8	210.4	290.4	283.1	224.3	244.7	244.8	166.6	253.9	251.1
Montipora_capitata_PredGene_g2240	62.2	54.2	35.8	50.6	44.7	48.3	43.2	52.7	34.2	47.2	56.1	61.8	46.5	60.3
Montipora_capitata_PredGene_g18270	378.4	377.6	305.2	251.6	426.2	281.2	270.6	248.1	703.4	291	278.3	186	247.2	154.1
Montipora_capitata_PredGene_g33940	208.2	198.6	138.6	161.3	176.9	164.2	144.9	123.2	178.6	227.9	159.8	120.6	173.1	162.5
Montipora_capitata_PredGene_g48635	51.4	52.8	39	37.6	63.8	51.7	46.9	47	91	49.5	51.8	68.7	43.5	42.5
Montipora_capitata_PredGene_g54261	148.9	164.5	108.5	122	125.8	127	103.9	117.1	141.7	158.8	104	101.3	136	118
Montipora_capitata_PredGene_g60662	189.6	225.8	175.3	132	167.3	188.8	126.8	135	458.6	170	130	408.9	135	185.4
Montipora_capitata_PredGene_adi2mcaRNA2497_R0	11.1	6.8	5	8.2	8.9	7.9	6.8	8.8	6	8.8	6.3	9.2	6.5	7.6
Montipora_capitata_PredGene_g22690	64.5	94.2	56.8	57.8	71.9	75	68	62.8	47.3	65.9	48.3	31.1	47.3	71.7
Montipora_capitata_PredGene_g7382	26.4	23.7	17.7	19.1	23.2	22.3	15.3	14.8	24.5	23.6	14.8	21.3	20.6	23.9
Montipora_capitata_PredGene_adi2mcaRNA16431_R0	332.2	367	249	265.2	311.8	286.8	170.7	183.9	353.4	290.4	213.3	362.1	295.6	281.5
Montipora_capitata_PredGene_g51150	29.1	19.7	21.2	14.7	19	21.5	16.8	13	19.7	26.1	14.6	19	19.4	24.6
Montipora_capitata_PredGene_g12472	47.7	83.9	38.2	57	41.9	49.8	52.7	79.5	95.8	81.9	52	40.3	90	94.8
Montipora_capitata_PredGene_g15718	120.8	117.6	87.1	88.6	113.4	147.3	67.2	44.4	78.7	117.1	67.7	124.9	65.2	118.1
Montipora_capitata_PredGene_g63837	62.6	75.7	50.8	50.6	57.2	39.7	40	45	49.9	75.8	34.5	39.5	50.7	64.4
Montipora_capitata_PredGene_g46333	118.1	127.4	80	102.3	118	113.8	80	86.5	47	107.5	77.3	98	119.1	127.1
Montipora_capitata_PredGene_g9694	962.3	766.1	678	591.9	916.9	865.1	602.2	599.2	985.1	1020.7	631.8	1010.1	951.1	956
Montipora_capitata_PredGene_g35590	414.9	402.8	261.6	348.5	333	373.2	239.4	240.4	360.7	436.1	290	325.2	357.1	425.8
Montipora_capitata_PredGene_g21901	150.7	150.7	108.2	114.7	153.1	136.2	104.9	97.9	138.7	123.8	91.7	75.6	145.6	153.4
Montipora_capitata_PredGene_g38101	10.2	10.5	6.5	9	10.5	5.8	9.3	3	5.2	11.8	14.1	12.8	8.3	8
Montipora_capitata_PredGene_g32655	109.2	109.5	83.4	78.1	132.4	117.6	83.6	102.6	113.1	88.4	103.9	136.6	137.4	103
Montipora_capitata_PredGene_g24410	530.6	562	416	392.7	445.9	408.4	665.2	592.3	903.5	808.9	680.5	1025.7	362.4	472.9
Montipora_capitata_PredGene_g55343	140.9	152.9	105.2	112.2	101.2	102	102.9	98.9	116.7	135.8	129.9	131.5	106.6	138.6
Montipora_capitata_PredGene_g69883	326.5	366.9	252.6	259.5	335.8	377.6	228.1	203.9	249.1	256	222.7	321.5	189.8	312.3
Montipora_capitata_PredGene_adi2mcaRNA30897_R0	24.2	26.8	17.1	20.8	26.5	21.8	14.1	10.6	10.4	9.3	14	13.2	16.9	24.8
Montipora_capitata_PredGene_g66316	44.1	36.7	27.9	31.8	41.7	36.7	36.6	28.4	25.5	34.6	35.2	26.4	38.6	40.5
Montipora_capitata_PredGene_g31274	19.5	22.4	19.4	12.3	17.2	15	23.7	0	1361.8	32.5	71.3	1180.1	15.2	14.8
Montipora_capitata_PredGene_g5668	43.6	38.8	27.9	33.5	70.9	58.4	18	21.2	38.5	28.5	19.7	29.6	53.8	40.9
Montipora_capitata_PredGene_g58517	595.3	605.6	421.8	472.3	475.7	513.8	495.9	395.3	568.2	683.4	528.3	503.2	455.8	583.3
Montipora_capitata_PredGene_adi2mcaRNA30800_R0	261.3	304.5	195.4	225.3	299.6	287.3	187.6	168	181	290	209.3	230.2	292.6	305
Montipora_capitata_PredGene_g53868	291.5	328.2	250.8	211.3	410.7	390.8	187.9	192.2	237.6	294.5	150.6	233.1	404.1	320.2
Montipora_capitata_PredGene_adi2mcaRNA10406_R0	14.6	23	15.4	12.1	24.7	22.4	16	23.2	16.4	23.2	18.4	17.6	25.5	13.8
Montipora_capitata_PredGene_g25038	304	306.4	237.4	217.4	240.8	265.4	218.3	205.8	169.4	354.1	319.4	208.7	239.8	279
Montipora_capitata_PredGene_g67322	503	547.1	407	375.1	432	403.2	313.4	373	63	326.5	300	894	526.3	524.2
Montipora_capitata_PredGene_adi2mcaRNA18710_R0	403.1	495.1	338	328.8	481	400.6	189	219.7	336.6	296.3	165.8	262.2	386.4	496.3
Montipora_capitata_PredGene_g57117	388.1	432.6	287.5	324.8	295.3	352.7	274.3	243.9	353.8	411.1	308.3	403.3	301.6	381
Montipora_capitata_PredGene_g14553	91.1	97.4	77.1	64	77.4	85.5	64.8	59.2	113	87.6	66	190.3	88.3	79.1
Montipora_capitata_PredGene_g33396	11.6	10	6.3	10.2	11.6	11.3	4.9	8.9	0	15	12.6	7	9.7	16.2
Montipora_capitata_PredGene_g25957	148	167	120.4	114.3	134.1	147.7	89.4	92	263.4	116.5	86.8	97.6	142.6	128.9
Montipora_capitata_PredGene_adi2mcaRNA20392_R0	50.6	38.5	31.3	34.6	29.6	33.6	30.1	22	33.6	46.5	25.7	20.9	30.1	44
Montipora_capitata_PredGene_g3868	24.3	25.3	25.7	13.3	26.5	21.6	19.4	19.1	23.1	16	17.2	22.5	33.7	21.7
Montipora_capitata_PredGene_g25538	263.3	258	180.5	210.1	211.8	254.4	184.4	208.6	246.2	277.8	217.4	253.6	298.1	273
Montipora_capitata_PredGene_g5892	218.8	223	181.2	150.3	204.3	222.8	107.8	94.6	136.7	167.5	122.4	207.4	140.6	180
Montipora_capitata_PredGene_g46894	61.1	89.7	66.6	45.9	71.1	72.7	35.8	31.6	74.1	30.1	30.1	63.1	71.1	96.2
Montipora_capitata_PredGene_g29179	147.6	144.7	109.6	108.8	140.7	125.5	112.4	99.8	123.1	141.4	111.9	122.4	173.6	157.9
Montipora_capitata_PredGene_g67052	1482	1506.2	1154.4	1083.2	1212.4	1225	1294.6	1456.4	1416.1	1784.7	1749.9	1605.6	1492.6	1679.9
Montipora_capitata_PredGene_g45086	774.5	1015.2	817.8	539.9	798.9	663.2	806.9	709.9	1059.4	865.8	836.9	449.7	981	922.4
Montipora_capitata_PredGene_g6318	47.3	79.3	45.2	46.5	47.4	45.4	75.5	62.6	59.2	74.7	95.1	85	50.3	70.9
Montipora_capitata_PredGene_g31917	138.2	154.1	113.6	105.1	110.4	117	105.6	115.1	149.9	160.3	128.6	116.2	124.1	138.3
Montipora_capitata_PredGene_g42616	125.9	120	93.8	90.7	113.7	118.6	96.5	85.2	274.5	88.7	120.3	450	99.3	101.8
Montipora_capitata_PredGene_adi2mcaRNA6092_R0	327.6	358.4	270	244.8	252.6	232.5	297.9	201.4	240.7	311.2	233.2	194	264.3	302.1
Montipora_capitata_PredGene_adi2mcaRNA35119_R0	152.9	153.5	106.7	123.9	143.4	125.9	103	96.5	137.3	145.3	120.5	119.2	122.1	151.3
Montipora_capitata_PredGene_g30622	7	5	6.7	3	10.3	5.8	9.3	5.9	3.5	8.3	8.1	14.6	13.6	7.7
Montipora_capitata_PredGene_g27541	39.4	48.3	31.9	33.5	49.4	45.3	31.5	27.7	30.6	37.8	27.4	17.9	46	35
Montipora_capitata_PredGene_g13418	11	6.7	8.2	5.1	11.2	8.3	7.4	12.1	11.2	8.3	15.9	14.5	9.7	7.1
Montipora_capitata_PredGene_g22253	381.3	363.9	289.3	270.8	294.4	285.1	237.1	200.6	356.9	351.4	291.6	336.6	283.7	371
Montipora_capitata_PredGene_g70980	27.1	24.7	18.5	20.3	23.7	21.2	17.6	17.8	21.1	17.5	16.4	15.1	24.2	22.4
Montipora_capitata_PredGene_g62490	83.3	69.6	44.8	73	51.6	61.2	50.8	83.5	52.8	75.9	40.9	21.5	73	59.8
Montipora_capitata_PredGene_g5110	35.2	29.6	19.7	30	34.2	34.7	16.9	14	30.8	31.9	22.2	21.7	37.1	43.6
Montipora_capitata_PredGene_g2660	130.7	165.9	133.2	92.1	172.9	119.5	125.4	118.3	223.1	77.6	123.4	256.9	98	175.3
Montipora_capitata_PredGene_g1767	165.6	108.3	79.8	127.1	177	183	75.2	85.8	52.2	76.6	106.3	22.5	186.3	186.1
Montipora_capitata_PredGene_g61965	26.9	22.4	18.7	18.3	25.9	24.7	23.6	25.2	9.6	24.2	20.8	20.7	24.1	27.2
Montipora_capitata_PredGene_g32152	71.6	57	38.7	59.5	49.7	52.4	44.2	36.1	42.1	65.8	60.5	34.5	55.6	87.3
Montipora_capitata_PredGene_g23873	24.1	31.7	25.8	16.8	21	28.2	23.4	22.2	32.1	26.5	20.7	32	31.5	30.5
Montipora_capitata_PredGene_g55126	8.6	8.3	6	6.7	2.6	3.3	7.2	6.2	14.9	11.7	14.3	8.5	3.8	7.4
Montipora_capitata_PredGene_g4766	20.7	20.2	14.2	16.8	21.2	17.1	17.6	17.8	18.3	16.8	14	27.2	19.5	27
Montipora_capitata_PredGene_g25286	262.8	309.6	214.5	216.3	282.1	282.8	190.5	197.4	140.4	315.4	233.4	305.1	261.4	325
Montipora_capitata_PredGene_g46368	85.3	126.7	82.1	75.2	103.3	105	72.8	72.7	108.9	95.4	61.9	82	88.7	105.5
Montipora_capitata_PredGene_g10219	462	241	183.5	346.1	436.6	514.9	269.4	236.4	330.9	188.9	266.8	14.5	507.4	623.6
Montipora_capitata_PredGene_g62792	349.5	345.7	260	264.6	326.2	272.5	262.3	242.9	299.1	336.8	315.1	245.1	282.6	318.6
Montipora_capitata_PredGene_g33957	141.4	111	66.2	135.2	107.5	90.7	90.8	163.3	144.7	197.8	211.8	141.8	148.1	152.6
Montipora_capitata_PredGene_g70202	11.2	8.6	8.7	6.3	6.8	5.6	8.3	5.5	6.4	8.7	7.6	5.6	6.5	8.3
Montipora_capitata_PredGene_adi2mcaRNA405_R0	8.1	13.2	7.7	7.9	13.9	11.1	9.4	7.1	12.1	12.7	9.6	11.9	5.3	9.8
Montipora_capitata_PredGene_g40301	53.6	47.7	34.3	42.6	55.3	58	31	30.9	40.9	54.1	33.5	47.9	38.3	46.7
Montipora_capitata_PredGene_g13002	121.9	130.2	74.1	122.5	98.1	106.8	81.5	93	153.4	136.5	100.7	115.1	120.9	115
Montipora_capitata_PredGene_g34796	9.8	9.1	5.3	9.6	7.9	5.9	4.4	2.6	9.4	12.3	7.7	6.2	7.5	13.6
Montipora_capitata_PredGene_g45763	26.5	39.3	27.1	22	33.5	27.5	25.7	21.7	23.2	31	28	23.4	26.8	35.5
Montipora_capitata_PredGene_g16394	57.1	50.2	28.2	58.3	46.9	36.8	39.5	55.8	14.1	62.4	47.2	13.6	55.9	49.6
Montipora_capitata_PredGene_g49977	8.3	12.6	7	8.5	12.8	10.7	5.8	6.7	11.7	8.2	10.5	9.6	5.9	11
Montipora_capitata_PredGene_g10407	503.8	427.6	310	398.1	376.7	403.6	261.5	236	353.2	470.3	266.3	306	340.7	387.8
Montipora_capitata_PredGene_g27135	19.3	18.3	17.7	11.4	20.3	18.5	19	23.9	19.6	16.2	16.5	20	16.1	16.1
Montipora_capitata_PredGene_g6409	76.5	57.2	45.9	54.7	59.1	58.1	58.3	60.5	77.1	75.3	116.4	110.9	48.1	69.7
Montipora_capitata_PredGene_g33928	29.2	30.2	21.6	23.3	22.4	24.1	19.8	18.9	24.8	30.5	19.6	17.7	22.2	20.5
Montipora_capitata_PredGene_adi2mcaRNA31180_R1	40.1	38.6	30.7	29	31.3	33	33.3	37.4	36.6	45.4	42.3	42.5	45.9	40.2
Montipora_capitata_PredGene_g27757	576.1	403.1	353.3	378.1	351.6	391.4	326.1	312.4	314	679.1	340.5	384.3	362.3	436.1
Montipora_capitata_PredGene_g60708	242.9	249.7	176.6	197.3	221	319.5	142.4	145.8	288.2	268.2	163	214.5	200	237.9
Montipora_capitata_PredGene_g1359	430.5	422.1	341.5	305.6	378.5	344.9	360.9	293	332.4	428	399.3	342.2	367.3	377.3
Montipora_capitata_PredGene_g45711	15.1	24.9	18.7	11.6	16.9	17.9	9.9	13.2	21.4	18.7	24.3	28.7	14.9	14.4
Montipora_capitata_PredGene_g41908	34.6	49.2	39	25.2	40.1	83.1	31.3	35.6	194.9	42.1	53.6	470.5	47.2	51
Montipora_capitata_PredGene_g17775	22.2	32.4	18.8	22.1	27.5	30.9	26.6	25.8	32	36.8	24.9	27.6	25.8	27
Montipora_capitata_PredGene_adi2mcaRNA37957_R5	58.9	63	48.5	44.1	42	41.5	16.3	21.4	29.9	41.1	18.5	26.4	42.2	40.8
Montipora_capitata_PredGene_g36059	727.4	691.7	547.6	531.1	673	717.6	487.8	525	662.1	680.9	529.7	411.4	548.2	633.4
Montipora_capitata_PredGene_g66042	278	291.8	213.2	219.7	192.3	258.4	209	186.4	214.7	222.7	142.3	409.1	244.2	280.3
Montipora_capitata_PredGene_g25934	30.4	26.3	21.8	21.2	16	20.7	18.8	22.2	22.7	23.9	19.4	28	29.2	21.5
Montipora_capitata_PredGene_g28910	128.7	109.5	80.3	101.3	119.8	94.9	98.2	78.8	82.3	108.9	99.5	95.7	125.8	116.8
Montipora_capitata_PredGene_g24999	306.7	280.9	242.6	205.1	295.1	271.1	292.2	235	425.1	268.3	281.1	244	239.8	267.3
Montipora_capitata_PredGene_g31887	172	168.1	133	125.5	155.6	148.3	124.8	119	131.6	184.1	138.5	130	151.8	157.4
Montipora_capitata_PredGene_g53674	215.9	226	182.9	153.9	189.7	187.5	160.1	165.4	229	161	147.4	275.7	228.5	225.4
Montipora_capitata_PredGene_g3026	2932.2	3661.4	3051.3	2037.1	3072.6	2464.8	2982.9	2889.9	3026.2	3199.8	3261	1844.3	3820.6	3518.4
Montipora_capitata_PredGene_g27079	240.6	316.7	200.2	220.3	284.5	257.8	198.3	199.8	192.6	270.9	210.6	210.1	242.1	272.3
Montipora_capitata_PredGene_g9770	113.1	94.5	74	83.7	46.7	52.3	63.4	59.3	117.9	125.7	102.3	105.5	33.3	109.5
Montipora_capitata_PredGene_g39762	117.7	148.3	101.7	99.5	148.2	130.6	97.9	68.1	110	133.6	119.3	98.1	153.4	150.3
Montipora_capitata_PredGene_adi2mcaRNA26720_R3	36.2	44.7	31.8	29.5	28.9	39.6	26.1	21.9	35.8	38.7	18.3	27.5	18.2	43
Montipora_capitata_PredGene_g65072	667.3	580.3	423.4	531.7	518.2	623	382.2	390.1	436.3	424.7	413.6	768.3	1024.2	740.7
Montipora_capitata_PredGene_g44605	780	737.8	613.2	545.6	626.8	632.8	653.9	420.3	511.4	688.4	582.7	408.5	708.3	668
Montipora_capitata_PredGene_g56782	51.1	60.9	42.6	42.4	44.8	45.1	33	33.9	69.4	50.7	42.5	69.6	75.4	81.9
Montipora_capitata_PredGene_g5142	280.4	258	181.5	231.4	213.1	264.1	211.5	218.3	223.3	301	224.8	220.5	230.8	386.1
Montipora_capitata_PredGene_g4187	240.7	306.7	204.1	210.8	248.4	252.2	164.5	153.8	306	215.7	181.8	421.6	211	240.3
Montipora_capitata_PredGene_g67868	266	179.9	133.8	208	201.5	165.7	118.3	123.9	251	285.3	159.2	288.8	206.4	215.4
Montipora_capitata_PredGene_g12445	96.8	85.8	65.5	73.9	88.8	90.8	75.3	78.3	100.4	113.4	74.6	130.4	92.2	99.9
Montipora_capitata_PredGene_g1752	454.1	456.4	331.5	364.9	331.8	377.8	359.3	401.5	416.5	401.3	316.1	282.8	506.4	449.2
Montipora_capitata_PredGene_g19587	478.4	358	326.2	306.7	335.5	376.7	247.4	271.2	292.1	355.1	290.8	541.7	391.9	427.2
Montipora_capitata_PredGene_g45424	73	69.9	53.2	56.1	76.1	59.5	41.4	44	87.2	73.4	63.6	65.2	65.7	73.7
Montipora_capitata_PredGene_g21701	216	232.8	153.9	190.6	188.3	172.3	170.1	194.3	151.7	255	212.8	175.2	181.2	186.8
Montipora_capitata_PredGene_g42338	60.6	63.3	43.9	51	81.9	54.3	40	53.1	49	41.8	37.2	43.2	81.7	59.5
Montipora_capitata_PredGene_g62801	52.1	58.6	40.9	43.6	55.8	42.5	44.8	35	65.3	49	36.3	55.1	37.2	46.7
Montipora_capitata_PredGene_g10408	8	9.7	7.8	5.8	8.2	9.9	7.4	6.9	7.2	6.4	5.8	9.6	6.8	8.2
Montipora_capitata_PredGene_g62709	15.8	11.1	10.5	9.7	16	16.7	11.1	6	11.5	11.4	9.4	10.9	13.1	18.1
Montipora_capitata_PredGene_g67452	11.1	11	8.5	8.3	10.6	13.9	7.5	6	9.1	9.8	6.3	7.8	15.7	5.5
Montipora_capitata_PredGene_adi2mcaRNA28905_R1	81.1	63.9	49.5	61.4	65.2	61.1	52.2	65.2	80.9	96.4	81.9	55.6	84.9	72.6
Montipora_capitata_PredGene_g16332	197.4	212.3	147.4	166.4	193.5	204.9	201.2	196.8	87.7	211.2	197.2	81	204.1	202.8
Montipora_capitata_PredGene_adi2mcaRNA10940_R1	108.1	98.7	74.9	83.3	91.9	82.6	74.7	74.3	98.2	136	94.6	98.7	114.2	110
Montipora_capitata_PredGene_g26548	56.8	89.9	60.8	49.1	75	73	52.4	69.6	67.2	75.7	34	51.7	51.2	47
Montipora_capitata_PredGene_g67453	572.9	685.1	481.8	477.8	506.9	513.2	497.2	442.5	526.9	604.5	408.7	412.2	529.1	531.1
Montipora_capitata_PredGene_g30201	72.1	89.9	78.6	48.3	126.8	91.9	38	42.3	59.7	56.1	51.8	90.5	157.8	146.1
Montipora_capitata_PredGene_g32450	79.4	111.4	70.6	73.5	191.6	91.6	68.4	124	73.6	86.5	114.8	136.5	100.7	86.2
Montipora_capitata_PredGene_g66879	225.8	204.7	153.8	176.5	217.7	184.1	129.6	112.3	183.5	225.8	133.4	171.5	163.9	202.8
Montipora_capitata_PredGene_g15291	30.4	34.8	25.7	24.1	26.8	29.3	30	32.5	32.7	37	22.6	20	24.6	35.2
Montipora_capitata_PredGene_g40955	1853.2	1516.7	1130.9	1462.2	1371.9	1461.5	1022.2	1004.6	895.9	1876.3	1232	1070.8	1428	1609.8
Montipora_capitata_PredGene_g27772	826.6	961	673	694.2	810.1	861.4	620.7	600.1	511	799.1	589	525.1	628.2	730
Montipora_capitata_PredGene_g64262	343.4	421.9	292.9	290.7	383	373.7	270.9	219.6	352.6	353	282.4	281.2	361.6	392.3
Montipora_capitata_PredGene_g35181	39.1	36.4	28.7	29.2	28.9	28.6	29.7	24.2	26	42.8	29.4	24.9	26.2	29.3
Montipora_capitata_PredGene_adi2mcaRNA25034_R1	43.8	31.5	22.8	35.6	35.5	37.7	25.6	29.3	38	33.6	27.8	40.8	28.8	28.8
Montipora_capitata_PredGene_g4862	96.5	96.4	72.5	75.5	96.3	94.8	73.3	74.4	73.9	85.3	85.9	114	78.1	92
Montipora_capitata_PredGene_g43980	22.4	29.8	18.2	21.7	16.4	19.6	14.2	16	19.7	21.5	14.5	15.1	14.5	20.9
Montipora_capitata_PredGene_g5043	400.1	438.3	312.1	331	529	449.4	299.9	333.3	278.8	393	328.1	307.8	438.7	456.3
Montipora_capitata_PredGene_adi2mcaRNA14993_R0	165.2	185.1	117.6	153.2	188.4	130.3	95.6	108.2	184.3	231.5	109.1	213.6	241.9	223
Montipora_capitata_PredGene_adi2mcaRNA30260_R0	8.5	8.4	5.6	7.5	9.9	10.1	5.8	10.8	10.8	6.2	8.4	6.8	11.9	11.1
Montipora_capitata_PredGene_g62660	11.9	7.9	5.1	10.7	10.9	13.4	8.4	6.4	9.5	10.1	7.2	8	9.3	13.1
Montipora_capitata_PredGene_adi2mcaRNA35859_R0	118.4	149.4	96.4	108.4	160.3	131	83.5	86.1	143	126.3	73.2	72	158.4	110.8
Montipora_capitata_PredGene_g37084	346.1	264.4	198.7	272.2	279.9	306	174.4	195.8	204.1	367.3	221.4	228.8	247.5	349.2
Montipora_capitata_PredGene_g32151	372.9	275.8	220.4	276.6	280.7	339.5	141.3	123.4	351.2	320.8	166.7	197.5	245.1	336
Montipora_capitata_PredGene_g51662	421.6	343.1	283.3	302.5	584.5	558.1	240.2	232.6	883.1	322.6	228	882.6	457.3	384.9
Montipora_capitata_PredGene_g32243	779	932	572	751.7	544.7	607.4	564.3	697.8	82.4	1151	560.7	232	602.3	525.4
Montipora_capitata_PredGene_g16154	63.3	68.3	45.9	55.9	57.4	54.5	47.5	46.5	102.9	64.5	75.5	95.7	54.6	68.2
Montipora_capitata_PredGene_g21151	52.6	54.2	42.1	40.2	34.2	52.2	44.5	34.6	98.8	53.2	39.4	82.3	46.2	54.6
Montipora_capitata_PredGene_g53880	11.3	19	12	10.6	15.4	16.7	11.8	13.9	8	15.5	8.7	15.6	11.5	11.7
Montipora_capitata_PredGene_g1764	185.8	226.4	135.3	184.9	281.2	233.2	135.8	239.9	143	201	249.4	330.9	144.2	142
Montipora_capitata_PredGene_g49078	186.8	182.6	114.4	177.2	181.8	180.1	103.9	97.7	157.3	194.9	101.6	133	155	138.2
Montipora_capitata_PredGene_adi2mcaRNA22032_R0	309.2	272.6	195.3	256.6	237.2	242.8	302.3	336.5	541.6	440	690.3	436.4	271.7	338.8
Montipora_capitata_PredGene_g43377	70.1	61.2	51.3	49.6	64.4	60.9	55.1	48.3	51.7	68.6	53.1	55.4	50.5	54.1
Montipora_capitata_PredGene_g67243	31.6	22.1	14.1	29.4	17.3	18.4	18	20.2	31.1	47.5	43.6	35	25.8	32.8
Montipora_capitata_PredGene_g24979	202.2	224.3	160.2	168.6	204.8	149.5	136.3	129.2	178.5	200.7	157.2	173.4	161.9	202.8
Montipora_capitata_PredGene_g52475	11.4	14.7	10	10	17.6	12.2	7.3	13.1	16.5	10.7	10.6	7.6	9.9	10.3
Montipora_capitata_PredGene_g67369	63.4	38.4	50	29	50.8	46.3	24.3	15.7	67	48.1	22.3	56	92.1	74.7
Montipora_capitata_PredGene_g1765	213.1	214.3	165.6	164.6	207.2	218.1	149	169.5	245.2	209.7	158.4	87.5	224.3	220.8
Montipora_capitata_PredGene_g45497	953.9	652.4	478.2	779.1	963.8	1121	558.1	643.2	883.6	487.9	718	1546.2	1107.1	1220.5
Montipora_capitata_PredGene_g4393	235.4	270	210	181.1	216.3	224.1	162.8	139	264.1	211.1	177.2	279.3	213.7	225.2
Montipora_capitata_PredGene_g15611	354.1	294.6	231.1	270.3	243.5	237.8	208.6	207.6	191.7	368.5	212.5	306.2	238	247.7
Montipora_capitata_PredGene_g61678	210	169.2	132.7	160.6	222.5	258.4	143.1	132.4	185.1	125.3	159.9	196.4	235.8	269.7
Montipora_capitata_PredGene_g56341	703	628.5	448.7	590.4	575.7	663.2	491.3	584.9	559.3	742	605.4	684.8	572.6	623.6
Montipora_capitata_PredGene_g10808	403.6	453.4	417	263.2	451.7	386.5	387.5	339.2	459.6	341.9	344	579.6	534	523
Montipora_capitata_PredGene_g57150	42.8	51.2	31.8	41.3	37.8	37.1	28.6	32.9	65.5	50.9	44	45.5	25.1	38.7
Montipora_capitata_PredGene_g68767	88.7	102.2	76.8	70.8	100.5	84.3	68.4	68.1	74.2	84.6	73.1	74.9	96.8	85.2
Montipora_capitata_PredGene_g18542	29.3	32.7	25.6	22.4	34.5	31.7	24	21.4	25.6	31.4	26	32.9	27.1	32.7
Montipora_capitata_PredGene_adi2mcaRNA8365_R0	243.8	218.8	154.8	207	319.9	220.5	126.2	122.5	284.7	300.3	134.2	274.8	325.2	342.1
Montipora_capitata_PredGene_adi2mcaRNA27153_R0	30.3	27.7	18.6	27.1	27.6	26.7	22.8	30.5	34.3	38.6	28.4	28.5	28.2	18.9
Montipora_capitata_PredGene_g9265	69.7	81.2	62	54.9	61.7	61.8	69.7	36	51	57.9	47.6	44.3	59	68.9
Montipora_capitata_PredGene_g47549	184.6	175.3	131.5	148.2	173	144.1	142.2	177.7	174.8	183	174.5	170.2	158.7	156.4
Montipora_capitata_PredGene_g3130	88.3	50.5	36.4	73.8	72.6	91	39.9	42.8	1	49	59.3	54.3	101.7	109.3
Montipora_capitata_PredGene_g1424	12.7	15.9	10.5	11.6	9.8	10	10.4	10.9	8.6	12.1	6.5	7.4	16.7	12.4
